 765900 [ 0  0  7  3 92] {'global_step': 2496513, 'accuracy': 0.94233042, 'loss': 0.81162876}444
 799200 [ 0  0  7  4 91] {'global_step': 2496513, 'accuracy': 0.94729376, 'loss': 0.72161448}334
 832500 [ 0  0  7  8 87] {'global_step': 2496513, 'accuracy': 0.94729376, 'loss': 0.60892797}414
 865800 [ 0  0  8  6 88] {'global_step': 2496513, 'accuracy': 0.94682109, 'loss': 0.65758014}385
 899100 [ 0  0  8  9 85] {'global_step': 2496513, 'accuracy': 0.94965732, 'loss': 0.63354576}401
 932400 [ 0  0  9  8 85] {'global_step': 2496513, 'accuracy': 0.95462066, 'loss': 0.5792557}453
 965700 [ 0  0 10  7 85] {'global_step': 2496513, 'accuracy': 0.95911133, 'loss': 0.46904334}419
 999000 [ 0  1  7  3 91] {'global_step': 2496513, 'accuracy': 0.94989365, 'loss': 0.59218174}357
 1032300 [ 0  1  7  6 88] {'global_step': 2496513, 'accuracy': 0.95272988, 'loss': 0.53992838}493
 1065600 [ 0  1  9  2 90] {'global_step': 2496513, 'accuracy': 0.95840228, 'loss': 0.48833135}499
 1098900 [ 0  1 10  1 90] {'global_step': 2496513, 'accuracy': 0.96029305, 'loss': 0.4816336}454
 1132200 [ 0  1 10  2 89] {'global_step': 2496513, 'accuracy': 0.96218389, 'loss': 0.43628415}502
 1165500 [ 0  1  9  7 85] {'global_step': 2496513, 'accuracy': 0.96218389, 'loss': 0.34486252}310
 1198800 [ 0  1 10  6 85] {'global_step': 2496513, 'accuracy': 0.96029305, 'loss': 0.39318022}534
 1232100 [ 0  1 11  5 85] {'global_step': 2496513, 'accuracy': 0.96100211, 'loss': 0.40529037}536
